,Champions with first RoleTop,Vladimir,Sylas,Akali,Annie,Yone,Ryze,Ekko,Rumble,Ahri,Cassiopeia,Diana,Galio,Yasuo,Talon,Zed,Neeko,Xerath,Viktor,Katarina,Orianna,Azir,Malzahar,Lissandra,Kassadin,Qiyana,Twisted Fate,Syndra,Anivia,Vel'Koz,Fizz,Zoe,Aurelion Sol,LeBlanc,Veigar,Corki
0,Camille,-9.0,14.0,6.0,3.0,14.0,4.0,30.0,6.0,3.0,19.0,-7.0,90.0,8.0,10.0,14.0,9.0,-6.0,13.0,-11.0,6.0,12.0,-8.0,-4.0,10.0,16.0,-15.0,-1.0,2.0,-8.0,8.0,4.0,-2.0,-3.0,2.0,-1.0
1,Irelia,-8.0,-4.0,-16.0,-1.0,-5.0,0.0,21.0,-4.0,-5.0,3.0,-7.0,-9.0,3.0,3.0,-4.0,2.0,-2.0,-12.0,-7.0,-2.0,5.0,-1.0,4.0,14.0,8.0,-9.0,-2.0,3.0,-1.0,5.0,6.0,5.0,-1.0,0.0,-1.0
4,Volibear,-3.0,-2.0,-4.0,-2.0,-1.0,-3.0,-2.0,-3.0,-4.0,1.0,0.0,-1.0,-1.0,4.0,1.0,0.0,-4.0,-5.0,2.0,-13.0,0.0,-2.0,-2.0,6.0,5.0,-10.0,0.0,3.0,-1.0,-1.0,14.0,-3.0,-3.0,-2.0,0.0
5,Renekton,-5.0,8.0,-5.0,0.0,-20.0,0.0,5.0,3.0,-1.0,-1.0,-5.0,7.0,-6.0,-1.0,-6.0,8.0,4.0,-1.0,1.0,-19.0,-6.0,4.0,4.0,3.0,15.0,-11.0,-9.0,-5.0,5.0,7.0,6.0,1.0,11.0,1.0,-1.0
6,Riven,7.0,7.0,-9.0,6.0,1.0,3.0,2.0,2.0,3.0,4.0,1.0,-1.0,0.0,-1.0,0.0,-5.0,4.0,7.0,-2.0,-13.0,-5.0,1.0,1.0,9.0,1.0,0.0,-7.0,2.0,0.0,7.0,8.0,1.0,-1.0,4.0,0.0
7,Aatrox,-5.0,11.0,-13.0,-6.0,-5.0,-6.0,8.0,-3.0,-1.0,-9.0,1.0,12.0,5.0,6.0,-5.0,1.0,9.0,-12.0,0.0,3.0,-1.0,1.0,4.0,7.0,7.0,13.0,-13.0,7.0,-5.0,13.0,4.0,3.0,-1.0,2.0,3.0
8,Wukong,-1.0,-7.0,8.0,5.0,-3.0,-1.0,-1.0,5.0,-1.0,0.0,2.0,9.0,0.0,1.0,2.0,-2.0,5.0,1.0,-1.0,-3.0,-1.0,2.0,2.0,-1.0,-1.0,7.0,13.0,-3.0,-1.0,3.0,6.0,1.0,-6.0,1.0,-3.0
11,Shen,6.0,15.0,-15.0,3.0,-6.0,7.0,-14.0,4.0,2.0,-4.0,8.0,8.0,-1.0,10.0,-2.0,-1.0,5.0,3.0,5.0,4.0,7.0,2.0,4.0,4.0,4.0,7.0,-2.0,-5.0,-2.0,3.0,7.0,-1.0,2.0,-3.0,3.0
13,Kennen,1.0,18.0,-5.0,4.0,-3.0,-3.0,1.0,4.0,0.0,-1.0,2.0,4.0,2.0,-1.0,8.0,-1.0,-1.0,8.0,2.0,-15.0,-1.0,2.0,2.0,4.0,6.0,-2.0,7.0,-1.0,0.0,-2.0,3.0,1.0,-1.0,-1.0,0.0
15,Urgot,-2.0,-5.0,-3.0,-1.0,7.0,-1.0,5.0,1.0,0.0,-3.0,0.0,5.0,-1.0,0.0,-1.0,0.0,-2.0,4.0,0.0,-4.0,0.0,-1.0,-1.0,-2.0,0.0,0.0,2.0,-2.0,0.0,-1.0,2.0,1.0,2.0,-1.0,0.0
18,Sion,1.0,-4.0,-4.0,3.0,4.0,1.0,2.0,3.0,-1.0,2.0,-3.0,-1.0,-5.0,-4.0,0.0,-5.0,-3.0,6.0,1.0,-3.0,1.0,0.0,0.0,-4.0,-1.0,-1.0,3.0,5.0,-1.0,6.0,3.0,3.0,3.0,3.0,-1.0
